Column,Non-NA Percentage,description,unit,source
wind_energy_per_capita,32.407268358612406,Wind power consumption per capita - Measured in kilowatt-hours per person.,kilowatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
oil_energy_per_capita,32.407268358612406,Oil consumption per capita - Measured in kilowatt-hours per person.,kilowatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
solar_energy_per_capita,32.22706112028833,Solar power consumption per capita - Measured in kilowatt-hours per person.,kilowatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
nuclear_share_energy,31.79156029433849,"Share of primary energy consumption that comes from nuclear power - Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
coal_cons_per_capita,31.551283976573057,Coal consumption per capita - Measured in kilowatt-hours per person.,kilowatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
coal_prod_change_pct,31.416128547830002,Annual change in coal production - Measured as a percentage of the previous year's production.,%,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; The Shift Data Portal - Energy production from fossil fuels (2019) [https://www.theshiftdataportal.org/]
gas_energy_per_capita,31.38609400810933,Gas consumption per capita - Measured in kilowatt-hours per person.,kilowatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
other_renewables_cons_change_pct,30.54512689593032,Annual percentage change in other renewables consumption - Figures are based on gross generation and do not account for cross-border electricity supply.,%,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
fossil_energy_per_capita,30.53010962606998,Fossil fuel consumption per capita - Measured in kilowatt-hours per person.,kilowatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
wind_cons_change_pct,29.97447064123742,Annual percentage change in wind power consumption - Figures are based on gross generation and do not account for cross-border electricity supply.,%,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
hydro_energy_per_capita,29.659107974170297,Hydropower consumption per capita - Measured in kilowatt-hours per person.,kilowatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
low_carbon_energy_per_capita,29.659107974170297,Low-carbon energy consumption per capita - Measured in kilowatt-hours per person.,kilowatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
renewables_energy_per_capita,29.659107974170297,Renewables consumption per capita - Measured in kilowatt-hours per person.,kilowatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
solar_cons_change_pct,28.637933623667216,Annual percentage change in solar power consumption - Figures are based on gross generation and do not account for cross-border electricity supply.,%,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
biofuel_consumption,27.196275717074634,Primary energy consumption from biofuels - Measured in terawatt-hours.,terawatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
biofuel_cons_change_twh,26.89593031986785,Annual change in biofuel consumption - Includes biogasoline (such as ethanol) and biodiesel. Volumes have been adjusted for energy content.,terawatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
biofuel_share_energy,26.64063673224208,"Share of primary energy consumption that comes from biofuels - Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
biofuel_cons_per_capita,23.38188917254843,Biofuel consumption per capita - Measured in kilowatt-hours per person.,kilowatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
biofuel_cons_change_pct,22.585973869950443,Annual percentage change in biofuel consumption - Includes biogasoline (such as ethanol) and biodiesel. Volumes have been adjusted for energy content.,%,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
nuclear_cons_change_pct,17.540171196876408,Annual percentage change in nuclear power consumption - Figures are based on gross generation and do not account for cross-border electricity supply.,%,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
